CASENAME,HIGH_LOW_BIRTH_WEIGHT,HIGH_UNEMPLOYMENT,HIGH_SHOOTINGS,HIGH_RESIDENTIAL_SEGREGATION,LOW_LIFE_EXPECTANCY,LIFE_EXP_VALUES
Albany Park,0,0,0,0,0,79.9
Archer Heights,0,0,0,0,0,77.7
Armour Square,0,0,0,0,0,82.6
Ashburn,0,0,0,0,0,77.7
Auburn Gresham,1,1,1,1,1,68.7
Austin,1,1,1,1,1,69.9
Avalon Park,1,1,0,1,1,72.6
Avondale,0,0,0,0,0,78.9
Belmont Cragin,0,0,0,0,0,78.9
Beverly,0,0,0,0,0,80.7
Bridgeport,0,0,0,0,0,80.6
Brighton Park,0,0,0,0,0,81.4
Burnside,1,1,1,1,1,68
Calumet Heights,1,0,0,1,0,73.9
Chatham,1,1,1,1,1,70.9
Chicago Lawn,0,1,0,0,0,74.1
Clearing,0,0,0,0,0,78.8
Douglas,1,1,0,1,1,72.5
Dunning,0,0,0,0,0,78.5
East Garfield Park,1,1,1,1,1,68.4
East Side,0,0,0,0,0,76.9
Edgewater,0,0,0,0,0,80.2
Edison Park,0,0,0,0,0,80.4
Englewood,1,1,1,1,1,65.1
Forest Glen,0,0,0,0,0,81.7
Fuller Park,0,1,1,1,1,67
Gage Park,0,1,0,0,0,81.2
Garfield Ridge,0,0,0,0,0,78.5
Grand Boulevard,1,1,1,1,1,71.9
Greater Grand Crossing,1,1,1,1,1,68.4
Hegewisch,0,0,0,0,0,80.2
Hermosa,0,0,0,0,0,79
Humboldt Park,0,0,1,0,0,73.9
Hyde Park,0,0,0,0,0,82.3
Irving Park,0,0,0,0,0,80.8
Jefferson Park,0,0,0,0,0,80.5
Kenwood,1,0,0,0,0,78.5
Lake View,0,0,0,0,0,82.4
Lincoln Park,0,0,0,0,0,83
Lincoln Square,0,0,0,0,0,80.4
Logan Square,0,0,0,0,0,80.8
Loop,0,0,0,0,0,88
Lower West Side,0,0,0,0,0,81.2
McKinley Park,0,0,0,0,0,79.2
Montclare,0,0,0,0,0,80.3
Morgan Park,0,0,0,0,0,75.1
Mount Greenwood,0,0,0,0,0,78.8
Near North Side,0,0,0,0,0,84.3
Near South Side,0,0,0,0,0,79.2
Near West Side,0,0,0,0,0,77.4
New City,0,1,1,0,1,73.8
North Center,0,0,0,0,0,83.5
North Lawndale,1,1,1,1,1,66
North Park,0,0,0,0,0,80.9
Norwood Park,0,0,0,0,0,81.2
Oakland,1,1,1,1,1,69.7
OHare,0,0,0,0,0,81.9
Portage Park,0,0,0,0,0,78.6
Pullman,1,1,0,1,1,72.8
Riverdale,1,1,1,1,1,71.6
Rogers Park,0,0,0,0,0,76.6
Roseland,1,1,1,1,1,67.9
South Chicago,1,1,1,1,1,69.7
South Deering,1,0,1,1,1,70.4
South Lawndale,0,0,0,0,0,79.4
South Shore,1,1,1,1,1,68.9
Uptown,0,0,0,0,0,76.4
Washington Heights,1,0,1,1,1,69.8
Washington Park,1,1,1,1,1,71.3
West Elsdon,0,0,0,0,0,80.3
West Englewood,1,1,1,1,1,67.9
West Garfield Park,1,1,1,1,1,63.4
West Lawn,0,0,0,0,0,80.1
West Pullman,1,1,1,1,1,67.3
West Ridge,0,0,0,0,0,80.1
West Town,0,0,0,0,0,79.7
Woodlawn,1,1,1,1,1,72.1
